decimalLatitude,decimalLongitude,Year,August,July,June,May,April,March,SeptBefore,AugustBefore,JulyBefore,JuneBefore,T_August,T_July,T_June,T_May,T_April,T_March,T_SeptBefore,T_AugustBefore,T_JulyBefore,T_JuneBefore
52.3709,-1.265,1922,MONTH_1922-08-16,MONTH_1922-07-16,MONTH_1922-06-16,MONTH_1922-05-16,MONTH_1922-04-16,MONTH_1922-03-16,MONTH_1921-09-16,MONTH_1921-08-16,MONTH_1921-07-16,MONTH_1921-06-16,12.663775836079376,12.928648983550238,13.194314629048296,12.388534163833516,4.803623761823039,3.8744645818427492,13.678346903635724,15.141566652262883,18.073011800717477,13.648604825600172
53.0831,-1.7859,1908,MONTH_1908-08-16,MONTH_1908-07-16,MONTH_1908-06-16,MONTH_1908-05-16,MONTH_1908-04-16,MONTH_1908-03-16,MONTH_1907-09-16,MONTH_1907-08-16,MONTH_1907-07-16,MONTH_1907-06-16,12.47876900907861,13.922940532664548,12.24616573973221,10.830828265920536,4.162162317202698,2.106263513576212,11.955883427004686,12.291988201466372,11.998227258345205,10.441826746681292
51.7961,-0.6559,1954,MONTH_1954-08-16,MONTH_1954-07-16,MONTH_1954-06-16,MONTH_1954-05-16,MONTH_1954-04-16,MONTH_1954-03-16,MONTH_1953-09-16,MONTH_1953-08-16,MONTH_1953-07-16,MONTH_1953-06-16,14.574941013871744,14.106338325545508,13.306128594117926,10.895085804889154,6.8563948802344195,5.656920070308838,13.53558024006366,16.086406361160027,15.182429904993148,13.605199982200944
51.4852,-2.7679,1947,MONTH_1947-08-16,MONTH_1947-07-16,MONTH_1947-06-16,MONTH_1947-05-16,MONTH_1947-04-16,MONTH_1947-03-16,MONTH_1946-09-16,MONTH_1946-08-16,MONTH_1946-07-16,MONTH_1946-06-16,18.78166702449535,16.671812224516522,15.35527700663512,13.089308794254558,8.808049102907189,4.044112058021921,14.124328059105785,14.588425668095779,16.169014120328224,12.761649487598653
50.8765,-1.6315,1901,MONTH_1901-08-16,MONTH_1901-07-16,MONTH_1901-06-16,MONTH_1901-05-16,MONTH_1901-04-16,MONTH_1901-03-16,MONTH_1900-09-16,MONTH_1900-08-16,MONTH_1900-07-16,MONTH_1900-06-16,16.677882490732667,18.135882865841396,14.69980708944664,12.183381171989279,9.09956047303748,4.53955637644651,14.596191090176966,16.367007157392926,18.466850085648044,14.993805923616513
50.6807,-1.5232,1947,MONTH_1947-08-16,MONTH_1947-07-16,MONTH_1947-06-16,MONTH_1947-05-16,MONTH_1947-04-16,MONTH_1947-03-16,MONTH_1946-09-16,MONTH_1946-08-16,MONTH_1946-07-16,MONTH_1946-06-16,19.52292919100619,17.17397191800773,15.312530102567498,12.808505783405426,8.614717233848095,4.903153724583744,14.464150884622994,15.087719485309025,16.13514543603625,13.151644028781448
50.5219,-4.8234,1904,MONTH_1904-08-16,MONTH_1904-07-16,MONTH_1904-06-16,MONTH_1904-05-16,MONTH_1904-04-16,MONTH_1904-03-16,MONTH_1903-09-16,MONTH_1903-08-16,MONTH_1903-07-16,MONTH_1903-06-16,15.302031510724952,16.33675903098242,13.073317855873547,10.459096838685074,8.712393396369018,5.613385874112285,13.288457950821615,14.3861402663414,15.20365739654864,12.87117713931376
50.5036,-4.6525,1902,MONTH_1902-08-16,MONTH_1902-07-16,MONTH_1902-06-16,MONTH_1902-05-16,MONTH_1902-04-16,MONTH_1902-03-16,MONTH_1901-09-16,MONTH_1901-08-16,MONTH_1901-07-16,MONTH_1901-06-16,15.01455932876393,14.422210967251885,12.878296181807706,8.942199743921448,7.74169414682112,7.639317788782096,14.05449540702913,15.710436080600333,16.819976252949292,13.480697648160342
50.6807,-1.5232,1896,MONTH_1896-08-16,MONTH_1896-07-16,MONTH_1896-06-16,MONTH_1896-05-16,MONTH_1896-04-16,MONTH_1896-03-16,MONTH_1895-09-16,MONTH_1895-08-16,MONTH_1895-07-16,MONTH_1895-06-16,15.968183071150628,17.492295048141372,16.44998840390518,12.642287711030017,9.920658469954823,7.818580003640341,16.895323838206433,16.47453705996646,16.047890522226133,15.20612999474446
53.5276,-0.6512,1966,MONTH_1966-08-16,MONTH_1966-07-16,MONTH_1966-06-16,MONTH_1966-05-16,MONTH_1966-04-16,MONTH_1966-03-16,MONTH_1965-09-16,MONTH_1965-08-16,MONTH_1965-07-16,MONTH_1965-06-16,14.574287754111594,14.522425030156452,15.041046969138804,10.98911623465526,6.45900743389269,6.354454055184909,12.489519753729903,14.441641183911742,13.435083754489908,14.09341430299039
50.8765,-1.6315,1889,MONTH_1889-08-16,MONTH_1889-07-16,MONTH_1889-06-16,MONTH_1889-05-16,MONTH_1889-04-16,MONTH_1889-03-16,MONTH_1888-09-16,MONTH_1888-08-16,MONTH_1888-07-16,MONTH_1888-06-16,15.475799280334373,16.28243140120971,16.29365534037471,13.435298750003923,7.991074753461372,5.361968840344776,13.656323858437935,14.916376579824533,14.42933587074317,13.906651954126717
